"ah it's excellent, olly.",general/general_praise
"any one is good to me, olly.",general/general_dontcare
"any one will be fine with me, olly.",general/general_dontcare
"any one will be good to me, olly.",general/general_dontcare
"anything is good with me, olly.",general/general_dontcare
"anything, olly.",general/general_dontcare
"appreciate your answers, olly.",general/general_praise
"appreciated, that's good.",general/general_praise
"appreciated, that's nice.",general/general_praise
"awesome job, you have done well, olly.",general/general_praise
"awesome work, you did well, olly.",general/general_praise
"awesome work, you've done well.",general/general_praise
"dammit, i didn't ask for that.",general/general_negate
"dammit, it isn't what i am looking for.",general/general_negate
"dammit, it isn't what i meant.",general/general_negate
"dammit, it's not what i just said.",general/general_negate
"dammit, not correct answer.",general/general_negate
"dammit, not correct.",general/general_negate
"dammit, that's not what i just requested.",general/general_negate
"dammit, you gave me incorrect information.",general/general_negate
"do not mind for any one, olly.",general/general_dontcare
"do not really know, olly.",general/general_dontcare
"does not really matter, olly.",general/general_dontcare
"don't care, olly.",general/general_dontcare
"don't really bother, olly.",general/general_dontcare
"don't really mind for whatever, olly.",general/general_dontcare
"excellent job, you've done well.",general/general_praise
"excellent work, you've done well.",general/general_praise
"good work, you have done well, olly.",general/general_praise
"good work, you have done well.",general/general_praise
"good work, you've done well, olly.",general/general_praise
"good work, you've done well.",general/general_praise
"great work, you did well.",general/general_praise
"have no idea for what to do, olly.",general/general_dontcare
"have no idea for which to choose, olly.",general/general_dontcare
"have no idea regarding to what to do, olly.",general/general_dontcare
"have no idea regarding to which to select, olly.",general/general_dontcare
"hmm, i think incorrect answer.",general/general_negate
"hmm, i think you did the task all in wrong manner.",general/general_negate
"hmm, i think you have done task all in wrong manner.",general/general_negate
"hmm, i think you have done the task all incorrectly.",general/general_negate
"hmm, i think you've done it all wrongly.",general/general_negate
"hmm, not right response.",general/general_negate
"hmm, this is not what i am searching for.",general/general_negate
"hmm, this was not what i said.",general/general_negate
"hmm, you did a task all in wrong manner.",general/general_negate
"hmm, you did not get what i wanted.",general/general_negate
"i am hungry,please contact China Wok for a number seven.",takeaway/takeaway_order
"i appreciate your asssistance, olly.",general/general_praise
"i do not know, olly.",general/general_dontcare
"i do not mind for any one, olly.",general/general_dontcare
"i do not mind to choose any one, olly.",general/general_dontcare
"i do not mind to select any one, olly.",general/general_dontcare
"i do not really mind to select any one, olly.",general/general_dontcare
"i don't know, olly.",general/general_dontcare
"i don't mind for anything, olly.",general/general_dontcare
"i don't really care, olly.",general/general_dontcare
"i have no idea for which to choose, olly.",general/general_dontcare
"i have no idea, olly.",general/general_dontcare
"i think you made some mistake, please check it.",general/general_negate
"i would not mind for any one, olly.",general/general_dontcare
"i would not mind for whatever, olly.",general/general_dontcare
"i would not mind to select any one, olly.",general/general_dontcare
"i would not mind, olly.",general/general_dontcare
"i would not really care, olly.",general/general_dontcare
"i would not really mind for any one, olly.",general/general_dontcare
"i would not really mind to choose any one, olly.",general/general_dontcare
"i wouldn't really care, olly.",general/general_dontcare
"i wouldn't really mind for whatever, olly.",general/general_dontcare
"i wouldn't really mind, olly.",general/general_dontcare
"I'll take my coffee, black",iot/iot_coffee
"it does not matter with me, olly.",general/general_dontcare
"it does not really matter for me, olly.",general/general_dontcare
"it doesn't matter for me, olly.",general/general_dontcare
"it doesn't matter to me, olly.",general/general_dontcare
"it doesn't really matter with me, olly.",general/general_dontcare
"it doesn't really matter, olly.",general/general_dontcare
"it is cool, thank you, olly.",general/general_praise
"it is great one, thank you.",general/general_praise
"it is helpful, thank you so much, olly.",general/general_praise
"it is helpful,, olly.",general/general_praise
"it is helpful,.",general/general_praise
"it is of no importance for me, olly.",general/general_dontcare
"it is of no importance to me, olly.",general/general_dontcare
"it is of no importance with me, olly.",general/general_dontcare
"it is unimportant to me, olly.",general/general_dontcare
"it is unimportant, olly.",general/general_dontcare
"it is useful, thank you, olly.",general/general_praise
"it is useful, thanks, olly.",general/general_praise
"it was cool, thank you so much.",general/general_praise
"it was cool, thank you, olly.",general/general_praise
"it was cool, thanks.",general/general_praise
"it was helpful, appreciated.",general/general_praise
"it was helpful, thank you so much, olly.",general/general_praise
"it was helpful, thank you so much.",general/general_praise
"it was nice job, thank you so much.",general/general_praise
"it was nice job, thanks, olly.",general/general_praise
"it was useful, thanks, olly.",general/general_praise
"it was wonderful, thank you very much.",general/general_praise
"it's amazing job, thank you very much, olly.",general/general_praise
"it's awesome, appreciated.",general/general_praise
"it's cool, appreciated.",general/general_praise
"it's cool, thank you so much, olly.",general/general_praise
"it's excellent job, thank you very much.",general/general_praise
"it's fantastic work, musch appreciated, olly.",general/general_praise
"it's fantastic, musch appreciated.",general/general_praise
"it's good one, thank you so much, olly.",general/general_praise
"it's good one, thank you very much.",general/general_praise
"it's good one, thank you.",general/general_praise
"it's good work, i appreciate it.",general/general_praise
"it's good work, thank you.",general/general_praise
"it's great one, musch appreciated, olly.",general/general_praise
"it's helpful, appreciated.",general/general_praise
"it's helpful, i appreciate it.",general/general_praise
"it's helpful, thank you.",general/general_praise
"it's helpful, thanks.",general/general_praise
"it's nice one, appreciated.",general/general_praise
"it's nice, appreciated.",general/general_praise
"it's useful, i appreciate it, olly.",general/general_praise
"it's useful, thank you so much.",general/general_praise
"it's wonderful job, thank you very much.",general/general_praise
"may i know whats at location one million, two hundred and fifty eight thousand, seven hundred and forty five",general/general_quirky
"musch appreciated, it was wonderful.",general/general_praise
"musch appreciated, it's perfect.",general/general_praise
"nice work, you have done well.",general/general_praise
"no, i didn't ask for this response.",general/general_negate
"no, i think that's not the right response.",general/general_negate
"no, i think you've done a task all in wrong manner.",general/general_negate
"no, thanks.",general/general_negate
"no, that was not what i said.",general/general_negate
"no, wrong answer.",general/general_negate
"no, you did all wrongly.",general/general_negate
"nope, i think you did this all in wrong manner.",general/general_negate
"nope, i think you have done a task in wrong manner.",general/general_negate
"nope, incorrect command.",general/general_negate
"nope, this was not the right response.",general/general_negate
"nope, you are incorrect.",general/general_negate
"nope, you have done it all in wrong manner.",general/general_negate
"not, that is not correct, please try again.",general/general_negate
"oh no, i didn't say it.",general/general_negate
"oh no, i didn't say this.",general/general_negate
"oh no, this was not what i was searching for.",general/general_negate
"oh no, you did not get me.",general/general_negate
"oh no, you did not get what i was searching for.",general/general_negate
"oh no, you did not understand what i meant.",general/general_negate
"olly that is all, cancel it.",general/general_commandstop
"olly that is all, just cancel.",general/general_commandstop
"olly that is all, just stop it.",general/general_commandstop
"olly that is all, stop.",general/general_commandstop
"olly that is enough, cancel it.",general/general_commandstop
"olly that is enough, cancel.",general/general_commandstop
"olly that is enough, just cancel it.",general/general_commandstop
"olly that is enough, just stop it.",general/general_commandstop
"olly that is enough, stop it.",general/general_commandstop
"olly that is enough, stop.",general/general_commandstop
"olly that's all, just cancel it.",general/general_commandstop
"olly that's all, just cancel.",general/general_commandstop
"olly that's all, just stop it.",general/general_commandstop
"olly that's all, just stop.",general/general_commandstop
"olly that's enough, cancel it.",general/general_commandstop
"olly that's enough, cancel.",general/general_commandstop
"olly that's enough, just cancel it.",general/general_commandstop
"olly that's enough, just stop it.",general/general_commandstop
"olly that's enough, stop it.",general/general_commandstop
"olly that's enough, stop.",general/general_commandstop
"Olly, learn that when i say mom, I mean giselle adams",general/general_quirky
"oops, i think you have understood me wrongly.",general/general_negate
"oops, you did not get me.",general/general_negate
"oops, you're wrong.",general/general_negate
"perfect job, you did well.",general/general_praise
"really don't mind, olly.",general/general_dontcare
"really i do not mind, olly.",general/general_dontcare
"really i would not mind, olly.",general/general_dontcare
"really would not mind, olly.",general/general_dontcare
"s1, again clarify your answers please.",general/general_explain
"s1, again elaborate me on what you have just said please.",general/general_explain
"s1, again explain me on what you have said please.",general/general_explain
"s1, again explain to me please.",general/general_explain
"s1, can you please explain more on what you've said to me.",general/general_explain
"s1, can you please rephrase it further to me.",general/general_explain
"s1, can you please rephrase me further on your response.",general/general_explain
"s1, can you please rephrase this further.",general/general_explain
"s1, could you clarify me further on that please.",general/general_explain
"s1, could you elaborate me further on this please.",general/general_explain
"s1, could you please elaborate me on this further.",general/general_explain
"s1, could you please rephrase me more on what you said.",general/general_explain
"s1, elaborate me about your response once again please.",general/general_explain
"s1, explain me on your answers once again.",general/general_explain
"s1, please again explain me on this.",general/general_explain
"s1, please can you clarify me more on your words.",general/general_explain
"s1, please could you further explain me about it.",general/general_explain
"s1, please elaborate further on it to me.",general/general_explain
"s1, please explain me more on your answers.",general/general_explain
"s1, please explain once again.",general/general_explain
"s1, please further explain it.",general/general_explain
"s1, please once again explain to me.",general/general_explain
"s1, please rephrase me on what you just said now once again.",general/general_explain
"s1, please would you clarify me further on your response.",general/general_explain
"s1, rephrase further on what you've just said to me please.",general/general_explain
"s1, rephrase me further on what you have said.",general/general_explain
"s1, will you clarify me further on your response please.",general/general_explain
"s1, will you explain me more on what you said now.",general/general_explain
"s1, will you once again clarify your words to me.",general/general_explain
"s1, will you please again elaborate.",general/general_explain
"s1, will you please clarify more on your answers to me.",general/general_explain
"s1, would you elaborate me more on what you said now please.",general/general_explain
"s1, would you further explain me about that please.",general/general_explain
"s1, would you further explain me about your response please.",general/general_explain
"s1, would you please elaborate me on it again.",general/general_explain
"s1, would you please explain me about that again.",general/general_explain
"s2, can not get your response.",general/general_explain
"s2, can not get your words.",general/general_explain
"s2, could not get your answers.",general/general_explain
"s2, do not get the last sentence.",general/general_explain
"s2, i am unclear about that.",general/general_explain
"s2, i am unclear about what you just said now.",general/general_explain
"s2, i am unclear about your words.",general/general_explain
"s2, i can not understand that.",general/general_explain
"s2, i can't catch up with you.",general/general_explain
"s2, i can't get last sentence.",general/general_explain
"s2, i can't quite catch that.",general/general_explain
"s2, i can't quite catch up with you.",general/general_explain
"s2, i couldn't catch that.",general/general_explain
"s2, i couldn't get what you have said.",general/general_explain
"s2, i couldn't quite catch that.",general/general_explain
"s2, i did not catch up with you.",general/general_explain
"s2, i didn't catch up with you.",general/general_explain
"s2, i do not understand that.",general/general_explain
"s2, i do not understand your answer.",general/general_explain
"s2, i don't catch that.",general/general_explain
"s2, i don't get your words.",general/general_explain
"s2, i was not clear about it.",general/general_explain
"s2, i was not clear about your answer.",general/general_explain
"s2, i was not so clear about what you have just said.",general/general_explain
"s2, i was unclear about it.",general/general_explain
"s2, i was unclear about last sentence.",general/general_explain
"s2, i was unclear about what you have just said.",general/general_explain
"s2, it was not clear to me.",general/general_explain
"shit, i didn't ask for it response.",general/general_negate
"shit, i didn't ask for this.",general/general_negate
"shit, i think incorrect command.",general/general_negate
"shit, i think incorrect.",general/general_negate
"shit, i think wrong.",general/general_negate
"shit, that's not what i was searching for.",general/general_negate
"shit, wrong.",general/general_negate
"shit, you didn't understand what i am looking for.",general/general_negate
"shit, you gave me not correct information.",general/general_negate
"stop, i think that's not the correct command.",general/general_negate
"stop, i think you understood me incorrectly.",general/general_negate
"thank you for doing it, olly.",general/general_praise
"thank you for your answers, olly.",general/general_praise
"thanks for answer, olly.",general/general_praise
"thanks for completing it, olly.",general/general_praise
"thanks for doing that, olly.",general/general_praise
"thanks for the helping, olly.",general/general_praise
"thanks for the response, olly.",general/general_praise
"thanks, it's awesome work.",general/general_praise
"thanks, it's perfect, olly.",general/general_praise
"thanks, that's fantastic job, olly.",general/general_praise
"thanks, that's nice one, olly.",general/general_praise
"thanks, that's wonderful work.",general/general_praise
"that does not matter for me, olly.",general/general_dontcare
"that does not really matter with me, olly.",general/general_dontcare
"that does not really matter, olly.",general/general_dontcare
"that doesn't really matter for me, olly.",general/general_dontcare
"that is all, cancel it.",general/general_commandstop
"that is all, cancel.",general/general_commandstop
"that is all, just cancel it.",general/general_commandstop
"that is all, just cancel.",general/general_commandstop
"that is all, just stop.",general/general_commandstop
